Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,ExpectedReason,Message
"status-token/PR_FS/predecessor/","PR_FS","","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FS/predecessor/TK_Bogus","PR_FS","TK_BOGUS","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FS/predecessor/TK_Active ","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"status-token/PR_FS/predecessor/tk_notstart","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_FS/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_FS/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-malformed-actual-start/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","bad-date","","8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-actual-start-after-data-date/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-03 08:00","","8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-actual-start-after-remaining-finish/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-10 08:00","","8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-negative-remaining-duration/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","","-8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-malformed-remaining-duration/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","","bad-number","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"complete-missing-actual-finish/PR_FS/predecessor","PR_FS","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","Observation only","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"complete-malformed-actual-finish/PR_FS/predecessor","PR_FS","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","Observation only","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"status-token/PR_FS/successor/","PR_FS","TK_NOTSTART","","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FS/successor/TK_Bogus","PR_FS","TK_NOTSTART","TK_BOGUS","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
